Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP1_Full64; Runtime version O-2018.09-SP1_Full64;  May 21 01:00 2021
Doing SDF annotation ...... Done
Started toggle measurement at         650...
mismatch cycle  850: out_BUS16_S3_T3: got 0415, expected 0436
mismatch cycle  850: out_BUS16_S3_T4: got 0415, expected 0436
mismatch cycle  851: out_BUS16_S1_T2: got 03e9, expected 0415
mismatch cycle  851: out_BUS16_S3_T1: got 03e9, expected 0415
mismatch cycle  851: out_BUS16_S3_T2: got 03e9, expected 0415
mismatch cycle  851: out_BUS16_S3_T3: got 03e9, expected 0415
mismatch cycle  851: out_BUS16_S3_T4: got 03e9, expected 0415
mismatch cycle  852: out_BUS16_S1_T2: got 0415, expected 03e9
mismatch cycle  852: out_BUS16_S3_T1: got 0415, expected 03e9
mismatch cycle  852: out_BUS16_S3_T2: got 0415, expected 03e9
mismatch cycle  852: out_BUS16_S3_T3: got 0415, expected 03e9
mismatch cycle  852: out_BUS16_S3_T4: got 0415, expected 03e9
mismatch cycle  854: out_BUS16_S1_T2: got 0420, expected 0415
mismatch cycle  854: out_BUS16_S3_T1: got 0420, expected 0415
mismatch cycle  854: out_BUS16_S3_T2: got 0420, expected 0415
mismatch cycle  854: out_BUS16_S3_T3: got 0420, expected 0415
mismatch cycle  854: out_BUS16_S3_T4: got 0420, expected 0415
mismatch cycle  855: out_BUS16_S1_T2: got 0441, expected 0420
mismatch cycle  855: out_BUS16_S3_T1: got 0441, expected 0420
mismatch cycle  855: out_BUS16_S3_T2: got 0441, expected 0420
mismatch cycle  855: out_BUS16_S3_T3: got 0441, expected 0420
mismatch cycle  855: out_BUS16_S3_T4: got 0441, expected 0420
mismatch cycle  856: out_BUS16_S1_T2: got 03e9, expected 0441
mismatch cycle  856: out_BUS16_S3_T1: got 03e9, expected 0441
mismatch cycle  856: out_BUS16_S3_T2: got 03e9, expected 0441
mismatch cycle  856: out_BUS16_S3_T3: got 03e9, expected 0441
mismatch cycle  856: out_BUS16_S3_T4: got 03e9, expected 0441
mismatch cycle  857: out_BUS16_S1_T2: got 042b, expected 03e9
mismatch cycle  857: out_BUS16_S3_T1: got 042b, expected 03e9
mismatch cycle  857: out_BUS16_S3_T2: got 042b, expected 03e9
mismatch cycle  857: out_BUS16_S3_T3: got 042b, expected 03e9
mismatch cycle  857: out_BUS16_S3_T4: got 042b, expected 03e9
mismatch cycle  858: out_BUS16_S1_T2: got 040a, expected 042b
mismatch cycle  858: out_BUS16_S3_T1: got 040a, expected 042b
mismatch cycle  858: out_BUS16_S3_T2: got 040a, expected 042b
mismatch cycle  858: out_BUS16_S3_T3: got 040a, expected 042b
mismatch cycle  858: out_BUS16_S3_T4: got 040a, expected 042b
mismatch cycle  859: out_BUS16_S1_T2: got 03b2, expected 040a
mismatch cycle  859: out_BUS16_S3_T1: got 03b2, expected 040a
mismatch cycle  859: out_BUS16_S3_T2: got 03b2, expected 040a
mismatch cycle  859: out_BUS16_S3_T3: got 03b2, expected 040a
mismatch cycle  859: out_BUS16_S3_T4: got 03b2, expected 040a
mismatch cycle  860: out_BUS16_S1_T2: got 0386, expected 03b2
mismatch cycle  860: out_BUS16_S3_T1: got 0386, expected 03b2
mismatch cycle  860: out_BUS16_S3_T2: got 0386, expected 03b2
mismatch cycle  860: out_BUS16_S3_T3: got 0386, expected 03b2
mismatch cycle  860: out_BUS16_S3_T4: got 0386, expected 03b2
mismatch cycle  861: out_BUS16_S1_T2: got 03de, expected 0386
mismatch cycle  861: out_BUS16_S3_T1: got 03de, expected 0386
mismatch cycle  861: out_BUS16_S3_T2: got 03de, expected 0386
mismatch cycle  861: out_BUS16_S3_T3: got 03de, expected 0386
mismatch cycle  861: out_BUS16_S3_T4: got 03de, expected 0386
mismatch cycle  862: out_BUS16_S1_T2: got 03c8, expected 03de
mismatch cycle  862: out_BUS16_S3_T1: got 03c8, expected 03de
mismatch cycle  862: out_BUS16_S3_T2: got 03c8, expected 03de
mismatch cycle  862: out_BUS16_S3_T3: got 03c8, expected 03de
mismatch cycle  862: out_BUS16_S3_T4: got 03c8, expected 03de
mismatch cycle  863: out_BUS16_S1_T2: got 040a, expected 03c8
mismatch cycle  863: out_BUS16_S3_T1: got 040a, expected 03c8
mismatch cycle  863: out_BUS16_S3_T2: got 040a, expected 03c8
mismatch cycle  863: out_BUS16_S3_T3: got 040a, expected 03c8
mismatch cycle  863: out_BUS16_S3_T4: got 040a, expected 03c8
mismatch cycle  864: out_BUS16_S1_T2: got 03d3, expected 040a
mismatch cycle  864: out_BUS16_S3_T1: got 03d3, expected 040a
mismatch cycle  864: out_BUS16_S3_T2: got 03d3, expected 040a
mismatch cycle  864: out_BUS16_S3_T3: got 03d3, expected 040a
mismatch cycle  864: out_BUS16_S3_T4: got 03d3, expected 040a
mismatch cycle  865: out_BUS16_S1_T2: got 03b2, expected 03d3
mismatch cycle  865: out_BUS16_S3_T1: got 03b2, expected 03d3
mismatch cycle  865: out_BUS16_S3_T2: got 03b2, expected 03d3
mismatch cycle  865: out_BUS16_S3_T3: got 03b2, expected 03d3
mismatch cycle  865: out_BUS16_S3_T4: got 03b2, expected 03d3
mismatch cycle  866: out_BUS16_S1_T2: got 03d3, expected 03b2
mismatch cycle  866: out_BUS16_S3_T1: got 03d3, expected 03b2
mismatch cycle  866: out_BUS16_S3_T2: got 03d3, expected 03b2
mismatch cycle  866: out_BUS16_S3_T3: got 03d3, expected 03b2
mismatch cycle  866: out_BUS16_S3_T4: got 03d3, expected 03b2
