Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP1_Full64; Runtime version O-2018.09-SP1_Full64;  May 21 00:58 2021
Doing SDF annotation ...... Done
Started toggle measurement at         650...
mismatch cycle  682: out_BUS16_S3_T1: got 0437, expected 0444
mismatch cycle  682: out_BUS16_S3_T2: got 0437, expected 0444
mismatch cycle  682: out_BUS16_S3_T3: got 0437, expected 0444
mismatch cycle  682: out_BUS16_S3_T4: got 0437, expected 0444
mismatch cycle  683: out_BUS16_S1_T1: got 0451, expected 0437
mismatch cycle  683: out_BUS16_S3_T1: got 0451, expected 0437
mismatch cycle  683: out_BUS16_S3_T2: got 0451, expected 0437
mismatch cycle  683: out_BUS16_S3_T3: got 0451, expected 0437
mismatch cycle  683: out_BUS16_S3_T4: got 0451, expected 0437
mismatch cycle  684: out_BUS16_S1_T1: got 0478, expected 0451
mismatch cycle  684: out_BUS16_S3_T1: got 0478, expected 0451
mismatch cycle  684: out_BUS16_S3_T2: got 0478, expected 0451
mismatch cycle  684: out_BUS16_S3_T3: got 0478, expected 0451
mismatch cycle  684: out_BUS16_S3_T4: got 0478, expected 0451
mismatch cycle  685: out_BUS16_S1_T1: got 0444, expected 0478
mismatch cycle  685: out_BUS16_S3_T1: got 0444, expected 0478
mismatch cycle  685: out_BUS16_S3_T2: got 0444, expected 0478
mismatch cycle  685: out_BUS16_S3_T3: got 0444, expected 0478
mismatch cycle  685: out_BUS16_S3_T4: got 0444, expected 0478
mismatch cycle  686: out_BUS16_S1_T1: got 049f, expected 0444
mismatch cycle  686: out_BUS16_S3_T1: got 049f, expected 0444
mismatch cycle  686: out_BUS16_S3_T2: got 049f, expected 0444
mismatch cycle  686: out_BUS16_S3_T3: got 049f, expected 0444
mismatch cycle  686: out_BUS16_S3_T4: got 049f, expected 0444
mismatch cycle  688: out_BUS16_S1_T1: got 045e, expected 049f
mismatch cycle  688: out_BUS16_S3_T1: got 045e, expected 049f
mismatch cycle  688: out_BUS16_S3_T2: got 045e, expected 049f
mismatch cycle  688: out_BUS16_S3_T3: got 045e, expected 049f
mismatch cycle  688: out_BUS16_S3_T4: got 045e, expected 049f
mismatch cycle  689: out_BUS16_S1_T1: got 0485, expected 045e
mismatch cycle  689: out_BUS16_S3_T1: got 0485, expected 045e
mismatch cycle  689: out_BUS16_S3_T2: got 0485, expected 045e
mismatch cycle  689: out_BUS16_S3_T3: got 0485, expected 045e
mismatch cycle  689: out_BUS16_S3_T4: got 0485, expected 045e
mismatch cycle  690: out_BUS16_S1_T1: got 04ac, expected 0485
mismatch cycle  690: out_BUS16_S3_T1: got 04ac, expected 0485
