TOP.top.core.pe_0x0302.config_addr[31:0],TOP.top.core.pe_0x0302.config_data[31:0],TOP.top.core.pe_0x0302.config_read,TOP.top.core.pe_0x0302.config_write,TOP.top.core.pe_0x0302.in_BUS1_S0_T0[0:0],TOP.top.core.pe_0x0302.in_BUS1_S0_T1[0:0],TOP.top.core.pe_0x0302.in_BUS1_S0_T2[0:0],TOP.top.core.pe_0x0302.in_BUS1_S0_T3[0:0],TOP.top.core.pe_0x0302.in_BUS1_S0_T4[0:0],TOP.top.core.pe_0x0302.in_BUS1_S1_T0[0:0],TOP.top.core.pe_0x0302.in_BUS1_S1_T1[0:0],TOP.top.core.pe_0x0302.in_BUS1_S1_T2[0:0],TOP.top.core.pe_0x0302.in_BUS1_S1_T3[0:0],TOP.top.core.pe_0x0302.in_BUS1_S1_T4[0:0],TOP.top.core.pe_0x0302.in_BUS1_S2_T0[0:0],TOP.top.core.pe_0x0302.in_BUS1_S2_T1[0:0],TOP.top.core.pe_0x0302.in_BUS1_S2_T2[0:0],TOP.top.core.pe_0x0302.in_BUS1_S2_T3[0:0],TOP.top.core.pe_0x0302.in_BUS1_S2_T4[0:0],TOP.top.core.pe_0x0302.in_BUS1_S3_T0[0:0],TOP.top.core.pe_0x0302.in_BUS1_S3_T1[0:0],TOP.top.core.pe_0x0302.in_BUS1_S3_T2[0:0],TOP.top.core.pe_0x0302.in_BUS1_S3_T3[0:0],TOP.top.core.pe_0x0302.in_BUS1_S3_T4[0:0],TOP.top.core.pe_0x0302.in_BUS16_S0_T0[15:0],TOP.top.core.pe_0x0302.in_BUS16_S0_T1[15:0],TOP.top.core.pe_0x0302.in_BUS16_S0_T2[15:0],TOP.top.core.pe_0x0302.in_BUS16_S0_T3[15:0],TOP.top.core.pe_0x0302.in_BUS16_S0_T4[15:0],TOP.top.core.pe_0x0302.in_BUS16_S1_T0[15:0],TOP.top.core.pe_0x0302.in_BUS16_S1_T1[15:0],TOP.top.core.pe_0x0302.in_BUS16_S1_T2[15:0],TOP.top.core.pe_0x0302.in_BUS16_S1_T3[15:0],TOP.top.core.pe_0x0302.in_BUS16_S1_T4[15:0],TOP.top.core.pe_0x0302.in_BUS16_S2_T0[15:0],TOP.top.core.pe_0x0302.in_BUS16_S2_T1[15:0],TOP.top.core.pe_0x0302.in_BUS16_S2_T2[15:0],TOP.top.core.pe_0x0302.in_BUS16_S2_T3[15:0],TOP.top.core.pe_0x0302.in_BUS16_S2_T4[15:0],TOP.top.core.pe_0x0302.in_BUS16_S3_T0[15:0],TOP.top.core.pe_0x0302.in_BUS16_S3_T1[15:0],TOP.top.core.pe_0x0302.in_BUS16_S3_T2[15:0],TOP.top.core.pe_0x0302.in_BUS16_S3_T3[15:0],TOP.top.core.pe_0x0302.in_BUS16_S3_T4[15:0],TOP.top.core.pe_0x0302.gin_0,TOP.top.core.pe_0x0302.gin_1,TOP.top.core.pe_0x0302.gin_2,TOP.top.core.pe_0x0302.gin_3,TOP.top.core.pe_0x0302.tile_id[15:0],TOP.top.core.pe_0x0302.reset
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07A3,069C,0000,0073,007D,0000,0000,05F9,0000,0CCF,0000,04C6,05F9,0000,0000,005E,04C6,0528,0000,0662,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07E7,05FA,0000,0077,0073,0000,0000,055F,0000,0BA9,0000,045E,055F,0000,0000,0055,045E,04C8,0000,057E,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06C6,057C,0000,0066,0077,0000,0000,04F1,0000,0B73,0000,03C2,04F1,0000,0000,004E,03C2,0468,0000,050C,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0671,05A0,0000,0061,0066,0000,0000,051D,0000,0AB1,0000,0374,051D,0000,0000,0050,0374,03FC,0000,057E,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05E9,05A0,0000,0059,0061,0000,0000,0462,0000,09B0,0000,03C2,0462,0000,0000,0050,03C2,03A8,0000,05CA,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05C7,056A,0000,0057,0059,0000,0000,042B,0000,0909,0000,03F6,042B,0000,0000,004D,03F6,03C0,0000,05B7,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04FB,0546,0000,004B,0057,0000,0000,03D3,0000,0895,0000,03E9,03D3,0000,0000,004B,03E9,03C0,0000,0532,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,050C,0510,0000,004C,004B,0000,0000,03BD,0000,07D7,0000,038E,03BD,0000,0000,0048,038E,039C,0000,04D3,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,050C,056A,0000,004C,004C,0000,0000,0339,0000,0761,0000,034D,0339,0000,0000,004D,034D,0384,0000,05CA,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0594,05A0,0000,0054,004C,0000,0000,0344,0000,076C,0000,03F6,0344,0000,0000,0050,03F6,0360,0000,0591,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0572,05C4,0000,0052,0054,0000,0000,0344,0000,07DC,0000,03CF,0344,0000,0000,0052,03CF,039C,0000,056B,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04EA,057C,0000,004A,0052,0000,0000,039C,0000,0818,0000,03B5,039C,0000,0000,004E,03B5,03C0,0000,0558,0,0,0,0,0302,0
00001011,00000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,052E,05A0,0000,004E,004A,0000,0000,0386,0000,0792,0000,03A8,0386,0000,0000,0050,03A8,03D8,0000,056B,0,0,0,0,0302,0
